Percent_Eliminated,RMSE,MAE,R2,Correlation
0.01,47.165188342273396,33.793114145426216,0.9515220555685704,0.9997517041074426
0.02,55.23974089476515,36.94934851317838,0.9308318377427409,0.9993190948899301
0.03,53.01398659784925,36.52021894621584,0.9366218136899956,0.9990590731055619
0.04,54.33099043642998,36.53350816741933,0.9318143338171692,0.9986823012119979
0.05,56.06867516863772,37.59494448872653,0.9291431279246065,0.9982452025466695
0.060000000000000005,53.27592717974219,36.63868266403418,0.9355480681545659,0.9980997611211049
0.06999999999999999,53.575533642179735,37.179258468775295,0.9348079807808501,0.997756958141769
0.08,55.49120124053769,37.7149271088959,0.9306768414982698,0.9972493763813848
0.09,56.557359218185766,38.38120570255836,0.9279124265734612,0.996785255638053
0.09999999999999999,57.29962253305485,38.54597663211029,0.9252561419392203,0.9963323595739881
0.11,56.75466862494417,39.00034749825411,0.9279726411575279,0.9960420723295064
0.12,56.42257861335319,38.79733008644564,0.9295040134341471,0.9957341363307681
0.13,56.74752994411616,38.30611849988405,0.9283512027563459,0.9953231899365502
0.14,58.02144379321287,39.51081294230966,0.9253071045103751,0.9947335576931506
0.15000000000000002,58.17905277015062,39.20137521158753,0.9229065619059151,0.9943248080530597
0.16,57.60932803929406,39.311332111234485,0.9251719876906653,0.9940638509406736
0.17,56.82906217503855,38.68689431656311,0.9289658385318587,0.9938624279908649
0.18000000000000002,57.66457819157798,39.358880227984365,0.9261838620045825,0.9933080220240513
0.19,58.08417007092774,39.90336221507075,0.9241295706411203,0.9928334106171479
0.2,57.71571540796996,39.50847112262935,0.9253558450657379,0.9925487210263695
0.21000000000000002,58.021379825227335,39.76638376513978,0.9255864831971734,0.9920959186501153
0.22,58.348607769479585,40.06284651825595,0.9248640795098171,0.9916213758809721
0.23,58.60013540906252,39.97753005448701,0.9233989835739925,0.9911650746875054
0.24000000000000002,57.388122584031684,39.55383556340972,0.9252190348879926,0.9911573441288011
0.25,59.47942311160097,40.6956409685215,0.9209763268433208,0.9901015551157
0.26,60.17213851909091,40.835160367337586,0.919497435738653,0.9894681066339288
0.27,60.19431742900728,40.93005698716221,0.9194265759703681,0.9890411164178927
0.28,60.23401699472803,40.885465285782075,0.9189559772556916,0.988625474689574
0.29000000000000004,60.48289931481785,41.373436664558376,0.9186309259366556,0.9881148285726212
0.3,60.74675407501736,41.247822836586465,0.9177916607766026,0.9875936965081991
0.31,61.44188024907562,41.70111070288051,0.9152742397837585,0.9868848617892801
0.32,61.52854935588643,41.994194641016335,0.9155981457113692,0.9864247212636991
0.33,61.25955059364696,42.01889390384254,0.9156505385909675,0.9861092599641501
0.34,61.0750004324675,41.98712500090413,0.9172559945014798,0.9857873947947945
0.35000000000000003,61.97718062719895,42.320450444932085,0.9138593078136579,0.9849271565342927
0.36000000000000004,63.21510097597766,42.94277933058176,0.9106360217317016,0.9838572683071147
0.37,62.34621682063221,42.906499532725974,0.9130344227428776,0.9838704987178617
0.38,62.33286485479964,42.493446968592664,0.9128446029222537,0.9834341474837015
0.39,62.79145688766998,43.230623648837046,0.9118206212685773,0.9827350709027314
0.4,63.004924198786654,42.929180237530886,0.9105683048954925,0.9821678503730881
0.41000000000000003,63.44437761566453,43.254928706933775,0.9092625761568481,0.9814691969674563
0.42000000000000004,64.82875797931692,44.094572949802554,0.9064627155682657,0.9801961345078052
0.43,63.180051133741806,43.493607228053406,0.9111418478255456,0.9807228997854253
0.44,64.16817958134304,44.37913864589815,0.9087924859145556,0.9796451157619656
0.45,64.46977053672889,44.15575545448199,0.907107544904619,0.9789690388759933
0.46,64.63116034855555,44.3371501833775,0.9069302751838951,0.9784037869205964
0.47000000000000003,65.37814004249994,44.76377089681692,0.904959387277552,0.9773989253990044
0.48000000000000004,65.9445545409346,45.35777142589096,0.9035509085242812,0.9765274778056616
0.49,66.54739936387725,45.37457258024318,0.9010907039595247,0.9755732052587287
0.5,65.37464221276896,45.15432214203291,0.904527140291628,0.9759507422399963
0.51,67.42767390395085,46.11062965155562,0.8988252518675657,0.9739103627235758
0.52,65.98912481226114,45.676206664381105,0.9024590862296844,0.9745268153303138
0.53,66.50405089901035,45.9230733489612,0.9011905081738678,0.9736096739853317
0.54,66.9938500130877,46.07742950057416,0.8998567649091739,0.9727316164573643
0.55,68.70029578754784,46.930888858512255,0.894928635062559,0.9707418210475478
0.56,68.30793916666258,46.66898940257486,0.895998261088738,0.9705834880330435
0.5700000000000001,68.33038652426256,46.6592504053515,0.8957349278587274,0.9700098283114823
0.5800000000000001,69.11794428760295,47.26114179425627,0.8933883437242788,0.9687499963658543
0.59,69.07618574995233,47.59158324479119,0.8938717125693205,0.9682709665497287
0.6,69.28272007517614,47.77814727398427,0.8929720232213817,0.9674753098782072
0.61,69.33284233334513,47.83567410562111,0.8931570892045231,0.966879707739957
0.62,70.77787636108067,48.60896586745243,0.8884220234909515,0.9649564370396864
0.63,71.29675600106528,49.23853925785582,0.8869669944716579,0.9638563867993062
0.64,70.4175799172753,48.83016080285298,0.88990122629417,0.9641497952544378
0.65,70.70690590052673,48.878024305363,0.8882323960003942,0.9633084191525593
0.66,72.2710429412961,49.84747971957,0.8837107304232483,0.9610947339973438
0.67,71.10345659232615,49.16563169475051,0.8869161970581998,0.9617515827316292
0.68,71.75795638148588,49.862425078991855,0.8846835383018237,0.9604320628107219
0.6900000000000001,72.17783075451305,49.99241763427028,0.8837697685902788,0.9594383565390243
0.7000000000000001,72.76499681884005,50.420774534929144,0.8819464848680103,0.9581256807249666
0.7100000000000001,73.31025669691135,50.717003374108685,0.8803032634281235,0.9568282368820176
0.72,73.45215098144823,50.75288919060568,0.8795156873660942,0.9560944250661163
0.73,74.36214048297215,51.34553030228517,0.8767822847046024,0.9543432632361242
0.74,73.7379663107037,51.37849931355807,0.8785771258552145,0.9544935199588999
0.75,74.34599901866228,51.486241485151034,0.8764292074511312,0.9531173815445019
0.76,75.11673813862416,52.047835294615346,0.8744458922632266,0.9515592573269724
0.77,75.7203164084655,52.29587227642094,0.8719988347855119,0.9500518904643502
0.78,75.20978676156356,52.47477627815756,0.873730838274023,0.9500781065636148
0.79,75.98840867473494,52.9624918518185,0.8715350611499242,0.9483286869509018
0.8,76.80064299144121,53.264357450638876,0.8684161690841665,0.9466852305553335
