Percent_Eliminated,RMSE,MAE,R2,Correlation
0.01,26.353489756260156,18.146864419075587,0.9633904872879975,0.9998252409086185
0.02,25.906697985348693,18.09271085346109,0.9661529475300101,0.9996622209403171
0.03,26.867201016376747,18.538320551237366,0.964238088957415,0.9994549878630667
0.04,25.98303748784751,18.373732326210973,0.9671043581944894,0.9993203061014311
0.05,27.74273296241659,19.104285698169647,0.9615908443567941,0.9990315951026817
0.060000000000000005,27.073354189397246,18.991290352166068,0.9631948567847726,0.9988930732697527
0.06999999999999999,28.568004881231765,19.318905693870093,0.958843952496814,0.9985620520253049
0.08,27.149333194815316,18.73683723051943,0.9628005337828048,0.9985154680026965
0.09,28.269747162234285,19.317352035024342,0.9591194037989756,0.9981890735588123
0.09999999999999999,27.680228236273976,19.23573922712417,0.9614109365506628,0.9980712253867488
0.11,27.543244959711494,19.216447233744372,0.961690376694309,0.9978985135997417
0.12,29.092623619971192,19.799682623304804,0.9577218864756715,0.9974416641994726
0.13,28.73301358279994,19.789304676387978,0.9590533510075295,0.9972963628294355
0.14,28.687553738704388,19.74023575055767,0.9588527299026145,0.9970982443609233
0.15000000000000002,28.720298237764272,19.87990871482423,0.9583665454194714,0.9968835930042146
0.16,29.493822779328653,20.19882038384663,0.956801222792175,0.9964931025625908
0.17,29.406060403772084,20.315999065136207,0.956985168549853,0.9962961514471467
0.18000000000000002,29.524909722919748,20.262732193339662,0.9554691309024681,0.9960464426217003
0.19,29.526420287105967,20.444454339309733,0.9562597791325369,0.9958260211190629
0.2,30.33988849862389,20.850026271827097,0.95313723655177,0.9953621502374709
0.21000000000000002,30.383032838575602,20.822334202331273,0.9531949905303881,0.9951134410300327
0.22,30.664081406052563,21.1584408494271,0.9526062400035485,0.9947869088246604
0.23,30.576705913273297,21.0131273708509,0.9529283949984421,0.9945788357559533
0.24000000000000002,31.03631028640817,21.052343307389474,0.9517777105424969,0.9941688669560891
0.25,30.98539929967935,21.50160745339486,0.9515461369238462,0.9939507483826621
0.26,30.688166390083147,21.35455968678957,0.9522868619905331,0.9938245319307052
0.27,32.31584817520003,21.90243499552491,0.9474900932487663,0.9928874975513464
0.28,32.0572784149967,21.83355591736685,0.9486564232478897,0.9927375383004488
0.29000000000000004,31.985059367347382,22.23002069225399,0.9486488786148057,0.9925151679472639
0.3,32.213995325077136,22.2855196469769,0.9478474076014481,0.9921472717881414
0.31,32.49896169652768,22.342762866704916,0.9467346200223056,0.9917355218917921
0.32,33.15155085169215,22.751662956926864,0.9444402408418046,0.9911238964756366
0.33,32.780533445377245,22.52766425423959,0.9461940459216371,0.9910456439117968
0.34,33.434824493404776,22.779685329438895,0.9439841948955957,0.9904005443779993
0.35000000000000003,33.144733199225755,22.91621241960127,0.9444981625052911,0.9902924132762508
0.36000000000000004,33.54742503274674,23.055738339710427,0.9436244554949228,0.9897723421496133
0.37,34.20224741175549,23.136739541208225,0.9409880475240802,0.9890695483949236
0.38,33.83089521216944,23.288624183946617,0.9423450800806067,0.9890150140370809
0.39,34.26036875087536,23.60954847719757,0.9411630415591171,0.9884323726394469
0.4,34.75641630863714,23.883410466152327,0.9391208684033829,0.9877801479964958
0.41000000000000003,34.690373690967974,23.863872999220153,0.939673353649958,0.9875240355924383
0.42000000000000004,35.63908243184985,24.41152310846394,0.93603037320494,0.9865182083469936
0.43,36.01119601604819,24.589661213930146,0.9344692221925239,0.9858988921212345
0.44,36.36378701837645,24.548067166853887,0.9335291886574874,0.9852703141957874
0.45,36.19276748420443,24.705768577462642,0.9343182724474818,0.9850785287523973
0.46,36.64450886076084,25.17571510605011,0.9322447297393216,0.9843597125213186
0.47000000000000003,37.11385896499601,25.430668518445383,0.9310617815122327,0.9836078392353762
0.48000000000000004,36.70438576354128,25.233643712156432,0.9320099871246577,0.9836198669395084
0.49,37.24475438388398,25.512393371074268,0.9303840238555308,0.9827692386258258
0.5,37.651829349476046,25.825030418256322,0.9285666619810944,0.9820407044538798
0.51,38.56670668224735,26.34554096274151,0.9252357264080511,0.9807655858807641
0.52,38.372138200532376,26.217627187867603,0.9256024529694998,0.9805879827912627
0.53,38.555905960214155,26.49429229110797,0.9255169373809615,0.9800123052256914
0.54,38.63404288279861,26.599077383010265,0.9247382583181705,0.9795335354976846
0.55,38.43537309626291,26.495917008992564,0.9257891673692771,0.9793778193323727
0.56,39.092726078030736,26.941755390105353,0.92278258329036,0.9782935953319061
0.5700000000000001,40.04176041790214,27.442221761854853,0.9193593466078509,0.9767873558721677
0.5800000000000001,39.57287704325012,27.384167955294426,0.9212136732253741,0.9769398328189909
0.59,40.36613994783039,27.742360492730608,0.9185803350945836,0.9755631148396183
0.6,40.31244146914729,27.848208448263048,0.9182393211513659,0.9752279173878984
0.61,41.032652370737395,28.34155350083184,0.9155202146370575,0.9738967032611693
0.62,41.33612456729684,28.54057726145885,0.9141398961080144,0.9730480049064627
0.63,41.870935135092374,28.789864418579278,0.9117145008303056,0.9719108832362813
0.64,41.693312799684115,28.85426422353614,0.9122919938506666,0.9716765529484288
0.65,42.011257514633755,29.172832886465276,0.9111051026596666,0.9707886923689886
0.66,42.66547489019251,29.59466993585788,0.9083988856522925,0.9693790540426037
0.67,43.43620455323783,30.004906785155413,0.9050545735632134,0.9677443529519983
0.68,43.28212137149253,29.995629190042216,0.9061607893981081,0.9675274750452125
0.6900000000000001,44.258594040199895,30.6605070858089,0.9015852470370249,0.9655102279552558
0.7000000000000001,44.07291742052621,30.647536849952093,0.9024861125276905,0.9652707481555932
0.7100000000000001,44.44596886475575,30.98108817747497,0.9006970753197379,0.9641872922512645
0.72,45.30106216115722,31.451885570341684,0.8971106428256949,0.9622147337278878
0.73,45.59718725303164,31.589471272443657,0.8954714751219839,0.9611416070366025
0.74,45.38452864978905,31.773619088276906,0.8962107705360223,0.9609750884545393
0.75,46.26993969513683,32.26307008717938,0.8922656047437585,0.9588682516730969
0.76,46.82380532789603,32.687644170674155,0.8892183651716716,0.9573051884842219
0.77,46.99950554864123,32.94029529012938,0.8886259133035418,0.9564221256724091
0.78,47.17181218402903,33.20088366428298,0.8876996787658145,0.955471671638417
0.79,47.83928469900593,33.495473385437606,0.8845581527034009,0.9535748145446699
0.8,48.70391099825473,33.96934334066739,0.8805753093013142,0.9512718680781139
